# a3fb5871-27d8-4c93-9fc5-4b0d4ee02a75
# d05a1b7567c802048e9fc7d6d97b4be657a96b9d
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-0.0553069; -0.8072867; 1.8653304; 0.3346696; -0.2589396; 0.9658935; -0.0433549; 0.0000000; 1.8326155; 0.0000525; 11.0000000; 0.0000000
-0.5377629; -0.9366539; 1.8650057; 0.3349943; -0.2590467; 0.9658648; -0.0432816; 0.4994946; 1.8326455; 0.0000674; 11.0000000; 0.0000000
-1.0202050; -1.0660728; 1.8646411; 0.3353589; -0.2591465; 0.9658380; -0.0431716; 0.9989896; 1.8326827; 0.0000816; 11.0000000; 0.0000000
-1.5026343; -1.1955398; 1.8644338; 0.3355662; -0.2592392; 0.9658132; -0.0430322; 1.4984849; 1.8327269; 0.0000952; 11.0000000; 0.0000000
-1.9850515; -1.3250513; 1.8643703; 0.3356297; -0.2593251; 0.9657901; -0.0428703; 1.9979805; 1.8327777; 0.0001081; 11.0000000; 0.0000000
-2.4674577; -1.4546042; 1.8643066; 0.3356934; -0.2594047; 0.9657687; -0.0426925; 2.4974764; 1.8328348; 0.0001203; 11.0000000; 0.0000000
-2.9498536; -1.5841953; 1.8647125; 0.3352875; -0.2594782; 0.9657490; -0.0425052; 2.9969726; 1.8328978; 0.0001316; 11.0000000; 0.0000000
-3.4322400; -1.7138217; 1.8641567; 0.3358433; -0.2595462; 0.9657307; -0.0423140; 3.4964691; 1.8329662; 0.0001421; 11.0000000; 0.0000000
-3.9146177; -1.8434808; 1.8647587; 0.3352413; -0.2596089; 0.9657138; -0.0421245; 3.9959658; 1.8330396; 0.0001515; 11.0000000; 0.0000000
-4.3969872; -1.9731700; 1.8642759; 0.3357241; -0.2596670; 0.9656982; -0.0419415; 4.4954627; 1.8331174; 0.0001600; 11.0000000; 0.0000000
-4.8793492; -2.1028871; 1.8639985; 0.3360015; -0.2597209; 0.9656837; -0.0417694; 4.9949598; 1.8331993; 0.0001674; 11.0000000; 0.0000000
-5.3617043; -2.2326302; 1.8639427; 0.3360573; -0.2597711; 0.9656702; -0.0416122; 5.4944571; 1.8332846; 0.0001738; 11.0000000; 0.0000000
-5.8440528; -2.3623976; 1.8639398; 0.3360602; -0.2598181; 0.9656576; -0.0414731; 5.9939545; 1.8333728; 0.0001790; 11.0000000; 0.0000000
-6.3263952; -2.4921878; 1.8639958; 0.3360042; -0.2598626; 0.9656456; -0.0413550; 6.4934520; 1.8334633; 0.0001831; 11.0000000; 0.0000000
-6.8087317; -2.6219997; 1.8640835; 0.3359165; -0.2599049; 0.9656342; -0.0412601; 6.9929496; 1.8335556; 0.0001861; 11.0000000; 0.0000000
-7.2910627; -2.7518323; 1.8642294; 0.3357706; -0.2599458; 0.9656232; -0.0411901; 7.4924473; 1.8336491; 0.0001880; 11.0000000; 0.0000000
-7.7733882; -2.8816850; 1.8644826; 0.3355174; -0.2599856; 0.9656125; -0.0411461; 7.9919450; 1.8337433; 0.0001887; 11.0000000; 0.0000000
-8.2557084; -3.0115575; 1.8647883; 0.3352117; -0.2600250; 0.9656019; -0.0411287; 8.4914427; 1.8338376; 0.0001884; 11.0000000; 0.0000000
-8.7380233; -3.1414497; 1.8649433; 0.3350567; -0.2600645; 0.9655913; -0.0411379; 8.9909405; 1.8339314; 0.0001869; 11.0000000; 0.0000000
-9.2203329; -3.2713617; 1.8646244; 0.3353756; -0.2601045; 0.9655805; -0.0411732; 9.4904382; 1.8340242; 0.0001844; 11.0000000; 0.0000000
-9.7026370; -3.4012940; 1.8646921; 0.3353079; -0.2601457; 0.9655694; -0.0412334; 9.9899358; 1.8341155; 0.0001809; 11.0000000; 0.0000000
-10.1849355; -3.5312472; 1.8648630; 0.3351370; -0.2601884; 0.9655579; -0.0413171; 10.4894334; 1.8342048; 0.0001764; 11.0000000; 0.0000000
-10.6672281; -3.6612223; 1.8650914; 0.3349086; -0.2602332; 0.9655458; -0.0414222; 10.9889309; 1.8342916; 0.0001709; 11.0000000; 0.0000000
